,Name,Category,Line Length (mi),Dominant Line Voltage (kV),Voltage range,States,Number of States,Region,Project Drivers (As determined by CThree),Lead Federal Agency,Year project proposed,Date of NOI Publication,Year Federal EIS Issued,Date last ROD published,Time in Days (NOI to last ROD),Time in Years (NOI to last ROD),Status of NEPA review,Energized?,NEPA Trigger
11,https://www.energy.gov/nepa/eis-0505-vantage-pomona-heights-230-kv-transmission-line-project-yakima-grant-benton-and,https://www.bpa.gov/learn-and-participate/public-involvement-decisions/project-reviews/vantage-to-pomona,,,,,,,,https://www.blm.gov/sites/blm.gov/files/orwa-sdpriority-energy-vantage-QandA.pdf,,,,,,,,,
12,https://www.govinfo.gov/content/pkg/FR-2012-03-30/pdf/2012-7690.pdf,https://www.federalregister.gov/documents/2010/10/14/2010-25825/apalachicola-national-forest-florida-city-of-tallahassee-230kv-southwestern-transmission-line,,,,,,,,https://www.federalregister.gov/documents/2010/10/14/2010-25825/apalachicola-national-forest-florida-city-of-tallahassee-230kv-southwestern-transmission-line,,,,,,,https://www.nepaccess.org/process-details?id=1000841,,
13,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5203333.pdf,https://www.fs.usda.gov/Internet/FSE_DOCUMENTS/stelprdb5288363.pdf,,,,,,,,,,,,,,,https://www.garkaneenergy.com/sites/default/files%20/documents/newsletters/fall%202019.pdf,https://www.garkaneenergy.com/sites/default/files/documents/newsletters/fall%202019.pdf,
14,https://www.fs.usda.gov/project/?project=24153,https://openei.org/wiki/Barren_Ridge_Renewable_Transmission,,,,,,,,https://openei.org/wiki/Barren_Ridge_Renewable_Transmission,,,,,,,https://www.newsdata.com/california_energy_markets/news_in_brief/ladwp-completes-barren-ridge-transmission-project/article_7442ebd5-e738-5697-a160-c58c2303e22b.html,https://www.newsdata.com/california_energy_markets/news_in_brief/ladwp-completes-barren-ridge-transmission-project/article_7442ebd5-e738-5697-a160-c58c2303e22b.html,
15,https://www.energy.gov/nepa/doeeis-0451-hooper-springs-transmission-project-caribou-county-idaho,https://www.energy.gov/nepa/doeeis-0451-hooper-springs-transmission-project-caribou-county-idaho,,,,,,,,https://www.energy.gov/nepa/doeeis-0451-hooper-springs-transmission-project-caribou-county-idaho,,,,,,,https://www.lvenergy.com/about-us/history/,https://www.lvenergy.com/about-us/history/,
16,https://www.rd.usda.gov/resources/environmental-studies/impact-statement/bemidji-grand-rapids-23kv-transmission-line-project-minnesota,https://www.mprnews.org/story/2010/11/01/bemidji-grand-rapids-power-line-project-receives-approval,,,,,,,,https://www.rd.usda.gov/sites/default/files/UWP_ND20-Minnkota_BGR_FEIS.pdf,,,,,,,https://hubert.hhh.umn.edu/CapX2020PDF/ProjectFactSheets.pdf,https://www.power-grid.com/td/xcel-energy-otter-tail-power-complete-345-kv-transmission-line/#gref,
17,https://pscdocs.utah.gov/electric/12docs/1203597/241309ExARebutGerrard1-18-2013.pdf,https://openei.org/wiki/Sigurd_Red_Butte_No2,,,,,,,,https://pscdocs.utah.gov/electric/12docs/1203597/241309ExARebutGerrard1-18-2013.pdf,,,,,,,https://www.pacificorp.com/transmission/transmission-projects/energy-gateway/gateway-south.html,https://www.pacificorp.com/transmission/transmission-projects/energy-gateway/gateway-south.html,
18,https://www.sce.com/about-us/reliability/upgrading-transmission/TRTP-4-11,https://www.power-technology.com/marketdata/tehachapi-renewable-transmission-project-us/,,,,,,,,https://openei.org/wiki/Tehachapi_Renewable_Transmission,,,,,,,https://openei.org/w/images/f/f5/Tehachapi_Renewable_FEIS_Volume_I.pdf,https://www.sce.com/about-us/reliability/upgrading-transmission/TRTP-4-11,
19,https://www.fs.usda.gov/detail/mbr/news-events/?cid=STELPRD3838289,https://www.fs.usda.gov/detail/mbr/news-events/?cid=STELPRD3838289,,,,,,,,https://cdxapps.epa.gov/cdx-enepa-II/public/action/eis/details?eisId=89128,,,,,,,https://doc.westconnect.com/Documents.aspx?NID=17530&dl=1,https://doc.westconnect.com/Documents.aspx?NID=17530&dl=1,
20,https://www.energy.gov/nepa/eis-0503-new-england-clean-power-link-vermont,https://www.energy.gov/sites/default/files/2016/12/f34/EIS-0503_NECPL_ROD_FR.pdf,,,,,,,,https://www.energy.gov/nepa/eis-0503-new-england-clean-power-link-vermont,,,,,,,https://www.energy.gov/sites/default/files/2016/12/f34/EIS-0503_NECPL_ROD_FR.pdf,http://necplink.com/schedule.php,
21,https://eplanning.blm.gov/eplanning-ui/project/2011785/510,https://www.bloomberg.com/news/features/2023-03-15/why-a-us-transmission-line-planned-17-years-ago-still-isn-t-built?embedded-checkout=true,,,,,,,,https://eplanning.blm.gov/public_projects/2011785/200481766/20078622/250084804/230517%20NOA%20ROD_RMP%20Amendments_508%20final.pdf,,,,,,,https://eplanning.blm.gov/public_projects/2011785/200481766/20078622/250084804/230517%20NOA%20ROD_RMP%20Amendments_508%20final.pdf,https://www.doi.gov/pressreleases/biden-harris-administration-celebrates-groundbreaking-new-sunzia-transmission-line,
22,"https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/energy-gateway-south-transmission-project#:~:text=The%20Project%20is%20designed%20to,needs%20of%20the%20Applicant%27s%20customers.","https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/energy-gateway-south-transmission-project#:~:text=The%20Project%20is%20designed%20to,needs%20of%20the%20Applicant%27s%20customers.",,,,,,,,"https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/energy-gateway-south-transmission-project#:~:text=The%20Project%20is%20designed%20to,needs%20of%20the%20Applicant%27s%20customers.",,,,,,,https://www.pacificorp.com/transmission/transmission-projects/energy-gateway/gateway-south.html,https://www.pacificorp.com/transmission/transmission-projects/energy-gateway/gateway-south.html,
23,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,,,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,,,,,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,,,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,,,https://www.permits.performance.gov/permitting-project/other-projects/surry-skiffes-creek-whealton-aerial-transmission-line,https://www.nao.usace.army.mil/Missions/Regulatory/SkiffesCreekPowerLine.aspx,
24,https://permanent.fdlp.gov/gpo94171/66847_FSPLT3_3908226.pdf,https://permanent.fdlp.gov/gpo94171/66847_FSPLT3_3908226.pdf,,,https://www.federalregister.gov/documents/2014/07/28/2014-17669/tongass-national-forest-alaska-kake-to-petersburg-transmission-line-intertie,,,,,https://permanent.fdlp.gov/gpo94171/66847_FSPLT3_3908226.pdf,,,,,,,,https://www.permits.performance.gov/permitting-project/fast-41-covered-projects/kake-petersburg-transmission-project,
25,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,,,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,,https://www.permits.performance.gov/permitting-project/other-projects/mcclellanville-115-kv-transmission-line-project,,
26,https://www.energy.gov/nepa/eis-0499-great-northern-transmission-line-project-minnesota,https://www.energy.gov/nepa/eis-0499-great-northern-transmission-line-project-minnesota,,,,,,,,https://www.energy.gov/nepa/eis-0499-great-northern-transmission-line-project-minnesota,,,,,,,https://minnesotapower.blob.core.windows.net/content/Content/Documents/Company/PressReleases/2020/20200611_NewsRelease.pdf,https://minnesotapower.blob.core.windows.net/content/Content/Documents/Company/PressReleases/2020/20200611_NewsRelease.pdf,
27,https://www.energy.gov/nepa/eis-0447-champlain-hudson-power-express-transmission-line-project-new-york,https://www.energy.gov/nepa/eis-0447-champlain-hudson-power-express-transmission-line-project-new-york,,,https://www.energy.gov/sites/default/files/2014/08/f18/EIS-0447-FEIS-Summary-2014.pdf,,,,,https://www.energy.gov/nepa/eis-0447-champlain-hudson-power-express-transmission-line-project-new-york,,,,,,,https://www.energy.gov/sites/default/files/2014/10/f18/EIS-0447-ROD-2014.pdf,https://www.governor.ny.gov/news/governor-hochul-announces-start-construction-339-mile-champlain-hudson-power-express,
